68;Автовокзал Квебек-сити Сант-Фуа;{"name": "Автовокзал Квебек-сити (Сант-Фуа)", "airport": "BQC", "country": "Канада"}
69;Автовокзал Лодзя;{"name": "Автовокзал Лодзя", "airport": "LKJ", "country": "Польша"}
70;Автовокзал Люблина;{"name": "Автовокзал Люблина", "airport": "QLU", "country": "Польша"}
71;Автовокзал Марибора;{"name": "Автовокзал Марибора", "airport": "MSB", "country": "Словения"}
72;Автовокзал Монтевидео;{"name": "Автовокзал Монтевидео", "airport": "FMV", "country": "Уругвай"}
73;Автовокзал Нагои;{"name": "Автовокзал Нагои", "airport": "NGY", "country": "Япония"}
74;Автовокзал Перуджи;{"name": "Автовокзал Перуджи", "airport": "PXB", "country": "Италия"}
75;Автовокзал Пескары;{"name": "Автовокзал Пескары", "airport": "PXC", "country": "Италия"}
76;Автовокзал Порторожа;{"name": "Автовокзал Порторожа", "airport": "PZJ", "country": "Словения"}
77;Автовокзал Праги Флоненц;{"name": "Автовокзал Праги (Флоненц)", "airport": "PFL", "country": "Чехия"}
78;Автовокзал Саламанки;{"name": "Автовокзал Саламанки", "airport": "SAJ", "country": "Испания"}
79;Автовокзал Сарагосы;{"name": "Автовокзал Сарагосы", "airport": "RZG", "country": "Испания"}
80;Автовокзал Страсбурга;{"name": "Автовокзал Страсбурга", "airport": "XER", "country": "Франция"}
81;АВТОПРИБОР,Автоприбор;{"name": "Автоприбор","statCode": "2060567"}
82;Автостанция Абу-Даби,Emirates Airline Office;{"name": "Автостанция Абу-Даби (Emirates Airline Office)", "airport": "ZVJ", "country": "ОАЭ"}
83;Автостанция в Аль-Айн,Emirates Commercial Complex;{"name": "Автостанция в Аль-Айн (Emirates Commercial Complex)", "airport": "ZVH", "country": "ОАЭ"}
84;Автостанция в Дубае,Etihad Travel Mall;{"name": "Автостанция в Дубае (Etihad Travel Mall)", "airport": "XNB", "country": "ОАЭ"}
85;Автостанция в Дубае,Marina Mall;{"name": "Автостанция в Дубае (Marina Mall)", "airport": "XMB", "country": "ОАЭ"}
86;АГА,Ага;{"name": "Ага","statCode": "2050378"}
87;Агадир,Альмассира,Агадира,Агадиру,Агадиром,Агадире;{"name": "Агадир", "airport": "AGA", "country": "Марокко"}
88;АГАРЗЯ,Агарзя;{"name": "Агарзя","statCode": "2060544","country": "Россия"}
89;Агартала,Сингербхил,Агарталы,Агартале,Агарталу,Агарталой;{"name": "Агартала", "airport": "IXA", "country": "Индия"}
90;АГЛОНА,Аглона;{"name": "Аглона","statCode": "2500372","country": "Латвия"}
91;Агра;{"name": "Агра", "airport": "AGR", "country": "Индия"}
92;АГРОНОМ,Агроном;{"name": "Агроном","statCode": "2064192"}
93;Агры,Агр,Аграм,Аграми,Аграх;{"name": "Агры", "airport": "AJI", "country": "Турция"}
94;АГРЫЗ,Агрыз;{"name": "Агрыз","statCode": "2060533"}
95;Агуадилья,Борингуин,Агуадильи,Агуадилье,Агуадилью,Агуадильей;{"name": "Агуадилья", "airport": "BQN", "country": "Пуэрто-Рико"}
96;Агуаскальентес,Агуаскалиентес,Агуаскальентеса,Агуаскальентесу,Агуаскальентесом,Агуаскальентесе;{"name": "Агуаскальентес", "airport": "AGU", "country": "Мексика"}
97;АГУЛ,Агул;{"name": "Агул","statCode": "2038233","country": "Россия"}
98;Ада,Ады,Аде,Аду,Адой;{"name": "Ада", "airport": "ADT", "country": "США"}
99;АДАБАШ,Адабаш;{"name": "Адабаш","statCode": "2208349","country": "Украина"}
100;Ададо;{"name": "Ададо", "airport": "AAD", "country": "Сомали"}
101;АДАДУРОВО,Ададурово;{"name": "Ададурово","statCode": "2020748"}
102;АДАМОВСКОЕ,Адамовское;{"name": "Адамовское","statCode": "2210937","country": "Украина"}
103;АДАМПОЛЬ,Адамполь;{"name": "Адамполь","statCode": "2200221","country": "Украина"}
104;Адампур;{"name": "Адампур", "airport": "AIP", "country": "Индия"}
105;Адана,Аданы,Адане,Адану,Аданой;{"name": "Адана", "airport": "ADA", "country": "Турция"}
106;Аддис-Абеба,Аддис Абеба,АддисАбеба,АддисАбебы,Аддиса-Абебы,Аддису-Абебе,Аддис-Абебу,Аддисом-Абебой,Аддисе-Абебе;{"name": "Аддис-Абеба", "airport": "ADD", "country": "Эфиопия"}
